Shelf-Antenna,Percentage Breakdown
A-SN01249,0.951048951
A-SN01060,0.013986014
A-SN01047,0.027972028
B-SN01060,0.034825871
B-SN01047,0.63681592
B-SN01249,0.328358209
C-SN01143 ,0.014492754
C-SN01047,0.942028986
C-SN01060,0.043478261
E-SN01143 ,0.013333333
E-SN01060,0.013333333
E-SN01051,0.973333333
F-SN01143 ,0.126984127
F-SN01060,0.73015873
F-SN01047,0.015873016
F-SN01249,0.015873016
F-SN01051,0.111111111
G-SN01143 ,0.015625
G-SN01249,0.03125
G-SN01060,0.9375
G-SN01051,0.015625
H-SN01143 ,1
I-SN01060,0.818181818
I-SN01249,0.090909091
I-SN01047,0.090909091
J-SN01249,0.0625
J-SN01060,0.006944444
J-SN01047,0.006944444
J-SN01143 ,0.916666667
J-SN01051,0.006944444
K-SN01143 ,0.385964912
K-SN01249,0.543859649
K-SN01060,0.070175439
