Shelf-Antenna,Saturday 11/14_ 9 to 430pm (reads per 30 mins)
Shelf_1_Back-SN01146,448.9941715
Shelf_1_Front-SN01146,97.90317948
Shelf_10-SN01156,126.0715024
Shelf_10-SN01222,179.5363179
Shelf_11-SN01156,102.2713262
Shelf_12-SN01170,8.04137931
Shelf_14_1-SN01205,320.520824
Shelf_14_2-SN01133,15.30377668
Shelf_14_3-SN01217,388.9986356
Shelf_14_4-SN01217,371.7112634
Shelf_16-SN01150,520.1194063
Shelf_16-SN01155,293.2911291
Shelf_2(510Skinny)-SN01146,4.764442454
Shelf_2(511Slim)-SN01146,1.034482759
Shelf_3_Back-SN01182,208.2959329
Shelf_3_Front-SN01182,362.4292805
Shelf_3-SN01133,22.35837438
Shelf_3-SN01154,1683.157188
Shelf_4-SN01182,12.22055531
Shelf_5-SN01166,432.7513083
Shelf_5-SN01181,459.9298409
Shelf_6_1-SN01166,611.5868786
Shelf_6_1-SN01181,44.6773399
Shelf_6_2-SN01166,632.0382132
Shelf_7-SN01154,268.1000863
Shelf_8_1-SN01166,279.2601839
Shelf_8_2-SN01154,453.156387
Shelf_9_1-SN01154,738.5629894
Shelf_9_2-SN01205,500.7482847
