Shelf-Antenna,Tues 11/17_ 9 to 6pm (reads per 30 mins)
Shelf_1-SN01085,1.034482759
Shelf_1-SN01101,201.2624912
Shelf_1-SN01104,1088.522167
Shelf_21-SN01077,116.1570734
Shelf_22-SN01077,1.034482759
Shelf_23-SN01077,348.9815271
Shelf_24-SN01077,1.810344828
Shelf_26-SN01077,149.864532
Shelf_27-SN01080,238.2558378
Shelf_28-SN01080,235.2765925
Shelf_29-SN01080,221.8645672
Shelf_2-SN01104,56.91185785
Shelf_2-SN01120,6.771159875
Shelf_30-SN01080,387.4273399
Shelf_31-SN01075,213.5096246
Shelf_32-SN01075,178.5554187
Shelf_33-SN01075,118.8740324
Shelf_34-SN01075,1.034482759
Shelf_34-SN01089,62.21674877
Shelf_35-SN01089,357.0111024
Shelf_36-SN01089,556.6216573
Shelf_5-SN01068,189.6169951
Shelf_6-SN01068,713.4605911
Shelf_6-SN01090,1.551724138
Shelf_7-SN01090,57.5862069
Shelf_8-SN01090,267.0381773
Shelf_S10-SN01086,321.1653765
Shelf_S10-SN01107,32.31034483
Shelf_S11-SN01086,40.45320197
Shelf_S12-SN01086,34.76127321
Shelf_S13-SN01107,12.75862069
Shelf_S14-SN01086,20.56650246
Shelf_S14-SN01107,40.86206897
Shelf_S15-SN01107,428.7931034
Shelf_S16-SN01107,5.172413793
Shelf_S17-SN01070,1.034482759
Shelf_S18-SN01070,128.3128079
Shelf_S19-SN01070,420.7588259
Shelf_S20-SN01070,1215.8867
Shelf_S4-SN01104,2.068965517
Shelf_S9-SN01086,177.2536946
Table_9-SN01076,6666.720819
Table_12(RofT12&front)-SN01082 ,1007.206897
Table_12_13-SN01106 ,10122.01154
Table_6-SN01090 ,9473.419951
Table_7-SN01090 ,3460.344828
